dataset,seq_len,pred_len,model_id,mae,mse,rmse,mape,mspe
ETTm1,96,24,ETTm1_96_24,0.5947078466415405,0.7386606931686401,0.8594537377357483,2.360234498977661,135.93821716308594
ETTh2,96,96,ETTh2_96_96,0.45754873752593994,0.34466734528541565,0.5870837569236755,2.5845131874084473,127.45845794677734
ETTh1,96,96,ETTh1_96_96,0.27681130170822144,0.1259070336818695,0.35483381152153015,0.8109059929847717,61.47663879394531
ETTh1,96,336,ETTh1_96_336,0.29614248871803284,0.14225874841213226,0.37717205286026,0.91703861951828,69.7435531616211
ETTm2,96,336,ETTm2_96_336,0.44799700379371643,0.345662385225296,0.5879306197166443,2.5177595615386963,164.20396423339844
ETTm1,96,192,ETTm1_96_192,0.213922917842865,0.08062050491571426,0.2839375138282776,0.43200743198394775,11.818617820739746
ETTm2,96,48,ETTm2_96_48,0.25917086005210876,0.13551920652389526,0.36812934279441833,1.7620187997817993,3083.132080078125
ETTh2,96,192,ETTh2_96_192,0.49346423149108887,0.38917022943496704,0.6238350868225098,2.6770148277282715,136.80722045898438
ETTm2,96,192,ETTm2_96_192,0.28517305850982666,0.16940172016620636,0.41158440709114075,1.8442420959472656,2192.4541015625
ETTh2,96,720,ETTh2_96_720,0.5927202105522156,0.5588549375534058,0.7475659847259521,3.0150275230407715,161.66656494140625
ETTm1,96,48,ETTm1_96_48,0.5577214360237122,0.6655673384666443,0.8158230781555176,2.4793481826782227,198.7901153564453
ETTm2,96,96,ETTm2_96_96,0.357313334941864,0.2172190099954605,0.4660676121711731,1.8272666931152344,89.57213592529297
ETTm1,96,96,ETTm1_96_96,0.1766045093536377,0.05574445426464081,0.2361026406288147,0.32963457703590393,6.284570217132568
ETTm1,96,720,ETTm1_96_720,0.3091375529766083,0.16144752502441406,0.4018053412437439,0.8954044580459595,68.24021911621094
ETTm2,96,24,ETTm2_96_24,0.2283182293176651,0.10679031163454056,0.3267878592014313,1.474183440208435,1127.4483642578125
ETTm1,96,336,ETTm1_96_336,0.6114346385002136,0.7770329117774963,0.8814947009086609,2.764403820037842,237.71473693847656
ETTm2,96,720,ETTm2_96_720,0.34590351581573486,0.2560546398162842,0.5060184001922607,2.402818202972412,3176.434814453125
ETTh2,96,48,ETTh2_96_48,0.4055795967578888,0.2787021994590759,0.527922511100769,2.1462032794952393,80.00099182128906
ETTh2,96,336,ETTh2_96_336,0.5139109492301941,0.4274117946624756,0.6537674069404602,2.5100719928741455,109.27312469482422
ETTh1,96,192,ETTh1_96_192,0.2949657738208771,0.14405740797519684,0.37954896688461304,0.9590799808502197,88.68970489501953
ETTh1,96,48,ETTh1_96_48,0.23100724816322327,0.08943638950586319,0.2990591824054718,0.6144265532493591,33.2925910949707
ETTh1,96,24,ETTh1_96_24,0.19027572870254517,0.06233227252960205,0.2496643215417862,0.4335167109966278,14.124679565429688
ETTh1,96,720,ETTh1_96_720,0.3508676588535309,0.19684843719005585,0.44367605447769165,1.3155009746551514,146.73794555664062
ETTh2,96,24,ETTh2_96_24,0.33046114444732666,0.19080866873264313,0.4368165135383606,1.7062888145446777,48.07938003540039
