dataset,seq_len,pred_len,mae,mse,rmse
ETTm1,96,96,0.1766045093536377,0.05574445426464081,0.2361026406288147
ETTm1,96,192,0.213922917842865,0.08062050491571426,0.2839375138282776
ETTm2,96,24,0.2283182293176651,0.10679031163454056,0.3267878592014313
ETTh1,96,48,0.23100724816322327,0.08943638950586319,0.2990591824054718
ETTm2,96,48,0.25917086005210876,0.13551920652389526,0.36812934279441833
ETTh1,96,96,0.27681130170822144,0.1259070336818695,0.35483381152153015
ETTm2,96,192,0.28517305850982666,0.16940172016620636,0.41158440709114075
ETTh1,96,336,0.29614248871803284,0.14225874841213226,0.37717205286026
ETTm1,96,720,0.3091375529766083,0.16144752502441406,0.4018053412437439
ETTh2,96,96,0.323709100484848,0.2178981751203537,0.4667956531047821
